client_id,client_name,client_score,income_bracket,employment_status,state,registration_date
C001,James Wilson,780,High,Employed,California,2023-01-05
C002,Sarah Johnson,810,High,Employed,New York,2023-01-10
C003,Michael Chen,795,High,Self-Employed,Texas,2023-01-15
C004,Emily Davis,760,High,Employed,Florida,2023-01-20
C005,Robert Brown,745,High,Employed,Illinois,2023-01-25
C006,Jennifer Miller,820,High,Employed,California,2023-02-01
C007,David Garcia,770,High,Self-Employed,Texas,2023-02-05
C008,Lisa Martinez,790,High,Employed,New York,2023-02-10
C009,Christopher Lee,755,High,Employed,Florida,2023-02-15
C010,Amanda Taylor,805,High,Employed,Illinois,2023-02-20
C011,Kevin Anderson,690,Medium,Self-Employed,California,2023-03-01
C012,Michelle Thomas,680,Medium,Employed,Texas,2023-03-05
C013,Steven White,710,Medium,Employed,New York,2023-03-10
C014,Nicole Harris,665,Medium,Self-Employed,Florida,2023-03-15
C015,Joshua Martin,695,Medium,Employed,Illinois,2023-03-20
C016,Stephanie Thompson,625,Medium,Employed,California,2023-03-25
C017,Daniel Moore,640,Medium,Self-Employed,Texas,2023-04-01
C018,Lauren Jackson,610,Low,Unemployed,New York,2023-04-05
C019,Matthew Clark,655,Medium,Employed,Florida,2023-04-10
C020,Rebecca Lewis,630,Medium,Self-Employed,Illinois,2023-04-15
C021,Andrew Walker,580,Low,Unemployed,California,2023-04-20
C022,Samantha Hall,560,Low,Part-Time,Texas,2023-04-25
C023,Brian Young,590,Low,Self-Employed,New York,2023-05-01
C024,Victoria King,540,Low,Unemployed,Florida,2023-05-05
C025,Timothy Scott,570,Low,Part-Time,Illinois,2023-05-10
C026,Christina Adams,585,Low,Unemployed,California,2023-05-15
C027,Jonathan Nelson,555,Low,Part-Time,Texas,2023-05-20
C028,Megan Carter,595,Low,Self-Employed,New York,2023-05-25
C029,Patrick Mitchell,535,Low,Unemployed,Florida,2023-06-01
C030,Olivia Perez,565,Low,Part-Time,Illinois,2023-06-05
C031,James Rodriguez,720,High,Employed,Pennsylvania,2023-06-10
C032,Mary Hernandez,698,Medium,Employed,Ohio,2023-06-15
C033,John Lopez,632,Medium,Self-Employed,Georgia,2023-06-20
C034,Patricia Gonzalez,587,Low,Part-Time,Michigan,2023-06-25
C035,Robert Wilson,714,High,Employed,North Carolina,2023-07-01
C036,Jennifer Anderson,681,Medium,Employed,California,2023-07-05
C037,Michael Thomas,645,Medium,Self-Employed,Texas,2023-07-10
C038,Linda Moore,599,Low,Unemployed,New York,2023-07-15
C039,William Jackson,728,High,Employed,Florida,2023-07-20
C040,Elizabeth Martin,667,Medium,Employed,Illinois,2023-07-25
C041,David Lee,611,Low,Part-Time,Pennsylvania,2023-08-01
C042,Barbara Harris,742,High,Employed,Ohio,2023-08-05
C043,Richard Clark,675,Medium,Self-Employed,Georgia,2023-08-10
C044,Susan Rodriguez,624,Medium,Employed,Michigan,2023-08-15
C045,Joseph Lewis,588,Low,Unemployed,North Carolina,2023-08-20
C046,Jessica Walker,736,High,Employed,California,2023-08-25
C047,Thomas Hall,658,Medium,Self-Employed,Texas,2023-09-01
C048,Sarah Young,603,Low,Part-Time,New York,2023-09-05
C049,Charles King,769,High,Employed,Florida,2023-09-10
C050,Karen Scott,641,Medium,Employed,Illinois,2023-09-15
C051,Nancy Adams,715,High,Employed,Pennsylvania,2023-09-20
C052,Mark Green,682,Medium,Self-Employed,Ohio,2023-09-25
C053,Betty Baker,648,Medium,Employed,Georgia,2023-10-01
C054,Anthony Hall,612,Low,Part-Time,Michigan,2023-10-05
C055,Margaret King,589,Low,Unemployed,North Carolina,2023-10-10
C056,Sandra Wright,739,High,Employed,California,2023-10-15
C057,Donald Lopez,663,Medium,Self-Employed,Texas,2023-10-20
C058,Ashley Hill,607,Low,Part-Time,New York,2023-10-25
C059,Paul Scott,774,High,Employed,Florida,2023-11-01
C060,Carol Adams,644,Medium,Employed,Illinois,2023-11-05
C061,Kevin Nelson,721,High,Employed,Pennsylvania,2023-11-10
C062,Lisa Carter,686,Medium,Self-Employed,Ohio,2023-11-15
C063,Brian Mitchell,651,Medium,Employed,Georgia,2023-11-20
